symbol
ETHUSDT
BTCUSDT
SOLUSDT
FDUSDUSDT
DOGEUSDT
ADAUSDT
XRPUSDT
TRXUSDT
ENAUSDT
BNBUSDT
SUIUSDT
PEPEUSDT
LINKUSDT
PROVEUSDT
AVAXUSDT
UNIUSDT
ARBUSDT
ALPINEUSDT
TRUMPUSDT
LTCUSDT
